time,name,trash,,,,
52,Housewife_11,100,100,,,
52,Student_1,None,0,,,
52,Student_9,None,0,,,
52 ЦђБе,,,85.71428571,,,
53,Housewife_2,100,100,,,
53,Housewife_8,100,100,,,
53,Housewife_3,100,100,,,
53,Housewife_6,100,100,,,
53,Blue_collar_4,100,100,,,
53,Blue_collar_5,100,100,,,
53,Blue_collar_7,100,100,,,
53,Blue_collar_10,100,100,,,
53,Blue_collar_12,100,100,,,
53,Blue_collar_13,100,100,,,
53,Blue_collar_14,100,100,,,
53,Housewife_11,100,100,,,
53,Student_1,None,0,,,
53,Student_9,None,0,,,
53 ЦђБе,,,85.71428571,,,
54,Housewife_2,100,100,,,
54,Housewife_8,100,100,,,
54,Housewife_3,100,100,,,
54,Housewife_6,100,100,,,
54,Blue_collar_4,100,100,,,
54,Blue_collar_5,100,100,,,
54,Blue_collar_7,100,100,,,
54,Blue_collar_10,100,100,,,
54,Blue_collar_12,100,100,,,
54,Blue_collar_13,100,100,,,
54,Blue_collar_14,100,100,,,
54,Housewife_11,100,100,,,
54,Student_1,None,0,,,
