time,name,trash,
582,Blue_collar_80,100,
583,Blue_collar_80,100,
584,Blue_collar_80,100,
585,Blue_collar_80,100,
586,Blue_collar_80,100,
587,Blue_collar_80,100,
588,Blue_collar_80,100,
589,Blue_collar_80,100,
590,Blue_collar_80,100,
591,Blue_collar_80,100,
592,Blue_collar_80,100,
593,Blue_collar_80,100,
594,Blue_collar_80,100,
595,Blue_collar_80,100,
596,Blue_collar_80,100,
597,Blue_collar_80,100,
598,Blue_collar_80,100,
599,Blue_collar_80,100,
600,Blue_collar_80,100,
601,Blue_collar_80,100,
602,Blue_collar_80,100,
603,Blue_collar_80,100,
604,Blue_collar_80,100,
605,Blue_collar_80,100,
606,Blue_collar_80,100,
607,Blue_collar_80,100,
608,Blue_collar_80,100,
609,Blue_collar_80,100,
610,Blue_collar_80,100,
611,Blue_collar_80,100,
612,Blue_collar_80,100,
613,Blue_collar_80,100,
614,Blue_collar_80,100,
615,Blue_collar_80,100,
616,Blue_collar_80,100,
617,Blue_collar_80,100,
618,Blue_collar_80,100,
619,Blue_collar_80,100,
620,Blue_collar_80,100,
621,Blue_collar_80,100,
622,Blue_collar_80,100,
623,Blue_collar_80,100,
624,Blue_collar_80,100,
625,Blue_collar_80,100,
626,Blue_collar_80,100,
627,Blue_collar_80,100,
628,Blue_collar_80,100,
629,Blue_collar_80,100,
630,Blue_collar_80,100,
631,Blue_collar_80,100,
632,Blue_collar_80,100,
633,Blue_collar_80,100,
634,Blue_collar_80,100,
635,Blue_collar_80,100,
636,Blue_collar_80,100,
637,Blue_collar_80,100,
638,Blue_collar_80,100,
639,Blue_collar_80,100,
640,Blue_collar_80,100,
641,Blue_collar_80,100,
642,Blue_collar_80,100,
643,Blue_collar_80,100,
644,Blue_collar_80,100,
645,Blue_collar_80,100,
646,Blue_collar_80,100,
647,Blue_collar_80,100,
648,Blue_collar_80,100,
649,Blue_collar_80,100,
650,Blue_collar_80,100,
651,Blue_collar_80,100,
652,Blue_collar_80,100,
653,Blue_collar_80,100,
654,Blue_collar_80,100,
655,Blue_collar_80,100,
656,Blue_collar_80,100,
657,Blue_collar_80,100,
658,Blue_collar_80,100,
659,Blue_collar_80,100,
660,Blue_collar_80,100,
661,Blue_collar_80,100,
662,Blue_collar_80,100,
663,Blue_collar_80,100,
664,Blue_collar_80,100,
665,Blue_collar_80,100,
666,Blue_collar_80,100,
667,Blue_collar_80,100,
668,Blue_collar_80,100,
669,Blue_collar_80,100,
670,Blue_collar_80,100,
671,Blue_collar_80,100,
672,Blue_collar_80,100,
673,Blue_collar_80,100,
674,Blue_collar_80,100,
675,Blue_collar_80,100,
676,Blue_collar_80,100,
677,Blue_collar_80,100,
678,Blue_collar_80,100,
679,Blue_collar_80,100,
680,Blue_collar_80,100,
681,Blue_collar_80,100,
682,Blue_collar_80,100,
683,Blue_collar_80,100,
684,Blue_collar_80,100,
685,Blue_collar_80,100,
686,Blue_collar_80,100,
687,Blue_collar_80,100,
688,Blue_collar_80,100,
689,Blue_collar_80,100,
690,Blue_collar_80,100,
691,Blue_collar_80,100,
692,Blue_collar_80,100,
693,Blue_collar_80,100,
694,Blue_collar_80,100,
695,Blue_collar_80,100,
696,Blue_collar_80,100,
697,Blue_collar_80,100,
698,Blue_collar_80,100,
699,Blue_collar_80,100,
700,Blue_collar_80,100,
701,Blue_collar_80,100,
702,Blue_collar_80,100,
703,Blue_collar_80,100,
704,Blue_collar_80,100,
705,Blue_collar_80,100,
706,Blue_collar_80,100,
707,Blue_collar_80,100,
708,Blue_collar_80,100,
709,Blue_collar_80,100,
710,Blue_collar_80,100,
711,Blue_collar_80,100,
712,Blue_collar_80,100,
713,Blue_collar_80,100,
714,Blue_collar_80,100,
715,Blue_collar_80,100,
716,Blue_collar_80,100,
717,Blue_collar_80,100,
718,Blue_collar_80,100,
719,Blue_collar_80,100,
720,Blue_collar_80,100,
721,Blue_collar_80,100,
722,Blue_collar_80,100,
723,Blue_collar_80,100,
724,Blue_collar_80,100,
725,Blue_collar_80,100,
726,Blue_collar_80,100,
727,Blue_collar_80,100,
728,Blue_collar_80,100,
729,Blue_collar_80,100,
730,Blue_collar_80,100,
731,Blue_collar_80,100,
732,Blue_collar_80,100,
733,Blue_collar_80,100,
734,Blue_collar_80,100,
735,Blue_collar_80,100,
736,Blue_collar_80,100,
737,Blue_collar_80,100,
738,Blue_collar_80,100,
739,Blue_collar_80,100,
740,Blue_collar_80,100,
741,Blue_collar_80,100,
742,Blue_collar_80,100,
743,Blue_collar_80,100,
744,Blue_collar_80,100,
745,Blue_collar_80,100,
746,Blue_collar_80,100,
747,Blue_collar_80,100,
748,Blue_collar_80,100,
749,Blue_collar_80,100,
750,Blue_collar_80,100,
751,Blue_collar_80,100,
752,Blue_collar_80,100,
753,Blue_collar_80,100,
754,Blue_collar_80,100,
755,Blue_collar_80,100,
756,Blue_collar_80,100,
757,Blue_collar_80,100,
758,Blue_collar_80,100,
759,Blue_collar_80,100,
760,Blue_collar_80,100,
761,Blue_collar_80,100,
762,Blue_collar_80,100,
763,Blue_collar_80,100,
764,Blue_collar_80,100,
765,Blue_collar_80,100,
766,Blue_collar_80,100,
767,Blue_collar_80,100,
768,Blue_collar_80,100,
769,Blue_collar_80,100,
770,Blue_collar_80,100,
771,Blue_collar_80,100,
772,Blue_collar_80,100,
773,Blue_collar_80,100,
774,Blue_collar_80,100,
775,Blue_collar_80,100,
776,Blue_collar_80,100,
777,Blue_collar_80,100,
778,Blue_collar_80,100,
779,Blue_collar_80,100,
780,Blue_collar_80,100,
781,Blue_collar_80,100,
782,Blue_collar_80,100,
783,Blue_collar_80,100,
784,Blue_collar_80,100,
785,Blue_collar_80,100,
786,Blue_collar_80,100,
787,Blue_collar_80,100,
788,Blue_collar_80,100,
789,Blue_collar_80,100,
790,Blue_collar_80,100,
791,Blue_collar_80,100,
792,Blue_collar_80,100,
793,Blue_collar_80,100,
794,Blue_collar_80,100,
795,Blue_collar_80,100,
796,Blue_collar_80,100,
797,Blue_collar_80,100,
798,Blue_collar_80,100,
799,Blue_collar_80,100,
800,Blue_collar_80,100,
801,Blue_collar_80,100,
802,Blue_collar_80,100,
803,Blue_collar_80,100,
804,Blue_collar_80,100,
805,Blue_collar_80,100,
806,Blue_collar_80,100,
807,Blue_collar_80,100,
808,Blue_collar_80,100,
809,Blue_collar_80,100,
810,Blue_collar_80,100,
811,Blue_collar_80,100,
812,Blue_collar_80,100,
813,Blue_collar_80,100,
814,Blue_collar_80,100,
815,Blue_collar_80,100,
816,Blue_collar_80,100,
817,Blue_collar_80,100,
818,Blue_collar_80,100,
819,Blue_collar_80,100,
820,Blue_collar_80,100,
821,Blue_collar_80,100,
822,Blue_collar_80,100,
823,Blue_collar_80,100,
824,Blue_collar_80,100,
825,Blue_collar_80,100,
826,Blue_collar_80,100,
827,Blue_collar_80,100,
828,Blue_collar_80,100,
829,Blue_collar_80,100,
830,Blue_collar_80,100,
831,Blue_collar_80,100,
832,Blue_collar_80,100,
833,Blue_collar_80,100,
834,Blue_collar_80,100,
835,Blue_collar_80,100,
836,Blue_collar_80,100,
837,Blue_collar_80,100,
838,Blue_collar_80,100,
839,Blue_collar_80,100,
840,Blue_collar_80,100,
841,Blue_collar_80,100,
842,Blue_collar_80,100,
843,Blue_collar_80,100,
844,Blue_collar_80,100,
845,Blue_collar_80,100,
846,Blue_collar_80,100,
847,Blue_collar_80,100,
848,Blue_collar_80,100,
849,Blue_collar_80,100,
850,Blue_collar_80,100,
851,Blue_collar_80,100,
852,Blue_collar_80,100,
853,Blue_collar_80,100,
854,Blue_collar_80,100,
855,Blue_collar_80,100,
856,Blue_collar_80,100,
857,Blue_collar_80,100,
858,Blue_collar_80,100,
859,Blue_collar_80,100,
860,Blue_collar_80,100,
861,Blue_collar_80,100,
862,Blue_collar_80,100,
863,Blue_collar_80,100,
864,Blue_collar_80,100,
865,Blue_collar_80,100,
866,Blue_collar_80,100,
867,Blue_collar_80,100,
868,Blue_collar_80,100,
869,Blue_collar_80,100,
870,Blue_collar_80,100,
871,Blue_collar_80,100,
872,Blue_collar_80,100,
873,Blue_collar_80,100,
874,Blue_collar_80,100,
875,Blue_collar_80,100,
876,Blue_collar_80,100,
877,Blue_collar_80,100,
878,Blue_collar_80,100,
879,Blue_collar_80,100,
880,Blue_collar_80,100,
881,Blue_collar_80,100,
882,Blue_collar_80,100,
883,Blue_collar_80,100,
884,Blue_collar_80,100,
885,Blue_collar_80,100,
886,Blue_collar_80,100,
887,Blue_collar_80,100,
888,Blue_collar_80,100,
889,Blue_collar_80,100,
890,Blue_collar_80,100,
891,Blue_collar_80,100,
892,Blue_collar_80,100,
893,Blue_collar_80,100,
894,Blue_collar_80,100,
895,Blue_collar_80,100,
896,Blue_collar_80,100,
897,Blue_collar_80,100,
898,Blue_collar_80,100,
899,Blue_collar_80,100,
900,Blue_collar_80,100,
901,Blue_collar_80,100,
902,Blue_collar_80,100,
903,Blue_collar_80,100,
904,Blue_collar_80,100,
905,Blue_collar_80,100,
906,Blue_collar_80,100,
907,Blue_collar_80,100,
908,Blue_collar_80,100,
909,Blue_collar_80,100,
910,Blue_collar_80,100,
911,Blue_collar_80,100,
912,Blue_collar_80,100,
913,Blue_collar_80,100,
914,Blue_collar_80,100,
915,Blue_collar_80,100,
916,Blue_collar_80,100,
917,Blue_collar_80,100,
918,Blue_collar_80,100,
919,Blue_collar_80,100,
920,Blue_collar_80,100,
921,Blue_collar_80,100,
922,Blue_collar_80,100,
923,Blue_collar_80,100,
924,Blue_collar_80,100,
925,Blue_collar_80,100,
926,Blue_collar_80,100,
927,Blue_collar_80,100,
928,Blue_collar_80,100,
929,Blue_collar_80,100,
930,Blue_collar_80,100,
931,Blue_collar_80,100,
932,Blue_collar_80,100,
933,Blue_collar_80,100,
934,Blue_collar_80,100,
935,Blue_collar_80,100,
936,Blue_collar_80,100,
937,Blue_collar_80,100,
938,Blue_collar_80,100,
939,Blue_collar_80,100,
940,Blue_collar_80,100,
941,Blue_collar_80,100,
942,Blue_collar_80,100,
943,Blue_collar_80,100,
944,Blue_collar_80,100,
945,Blue_collar_80,100,
946,Blue_collar_80,100,
947,Blue_collar_80,100,
948,Blue_collar_80,100,
949,Blue_collar_80,100,
950,Blue_collar_80,100,
951,Blue_collar_80,100,
952,Blue_collar_80,100,
953,Blue_collar_80,100,
954,Blue_collar_80,100,
955,Blue_collar_80,100,
956,Blue_collar_80,100,
957,Blue_collar_80,100,
958,Blue_collar_80,100,
959,Blue_collar_80,100,
960,Blue_collar_80,90,
961,Blue_collar_80,90,
962,Blue_collar_80,90,
963,Blue_collar_80,90,
964,Blue_collar_80,90,
965,Blue_collar_80,90,
966,Blue_collar_80,90,
967,Blue_collar_80,90,
968,Blue_collar_80,90,
969,Blue_collar_80,90,
970,Blue_collar_80,90,
971,Blue_collar_80,90,
972,Blue_collar_80,90,
973,Blue_collar_80,90,
974,Blue_collar_80,90,
975,Blue_collar_80,90,
976,Blue_collar_80,90,
977,Blue_collar_80,90,
978,Blue_collar_80,90,
979,Blue_collar_80,90,
980,Blue_collar_80,90,
981,Blue_collar_80,90,
982,Blue_collar_80,90,
983,Blue_collar_80,90,
984,Blue_collar_80,80,
985,Blue_collar_80,80,
986,Blue_collar_80,80,
987,Blue_collar_80,80,
988,Blue_collar_80,80,
989,Blue_collar_80,80,
990,Blue_collar_80,80,
991,Blue_collar_80,80,
992,Blue_collar_80,80,
993,Blue_collar_80,80,
994,Blue_collar_80,80,
995,Blue_collar_80,80,
996,Blue_collar_80,80,
